,username,comment_karma,submission_karma,karma_ratio,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval
279,Harin7565,15,1,15,0.475846812,0.068625045,0 days 03:30:10,0 days 01:05:37
280,Reanneferreira2518,178,61,2.918,0.400003828,0.219379207,0 days 02:02:48,0 days 00:00:21
281,fby051,1320,1597,0.8265,0.539959657,0.095127521,0 days 02:01:18,3 days 05:46:21
282,Acrobatislanfjo,132,37,3.5676,0.068599738,0.003514587,0 days 00:51:58,0 days 11:11:59
283,Dry-Focus3215,16,1,16,0.497923563,0.405767979,0 days 00:47:26,0 days 00:00:10
284,credibleSeminary697,61,1,61,0.272367295,0.200101253,0 days 00:49:09,0 days 00:00:12
285,netsp64,236,23,10.2609,0.320788855,0.023324283,0 days 03:23:52,0 days 01:49:48
286,Choset348,57,1,57,0.63954642,0.399823889,0 days 00:43:55,0 days 00:00:13
287,veznicamjj,97,3,32.3333,0.405496381,0.008308653,0 days 02:17:03,0 days 02:25:59
288,usovigjasa,81,1255,0.0645,0.468787739,0.1637815,0 days 00:39:43,3 days 15:18:14
289,straferbj,156,5,31.2,0.441093896,0.009355,0 days 04:33:51,0 days 00:00:22
290,neusaapdd,6,1,6,0.152306708,0.028599492,0 days 00:22:35,2 days 00:10:39
291,maetheg9p,4,2,2,0.627118102,0.000725713,90 days 15:57:18,0 days 10:36:10
292,dignaba6k,2,1,2,0.76205499,0.000946943,114 days 04:18:13,0 days 06:12:39
293,buidasmiddilszx,0,4,0,0.650388718,0.000682183,76 days 02:12:58,0 days 10:09:38
294,agatitsll,63,73,0.863,0.597222765,0.002968941,0 days 00:01:15,0 days 07:17:05
295,aconsiarj2,2,1,2,0.350787257,0.099331212,0 days 05:25:36,260 days 00:31:25
296,Spaderaiz,9390,62486,0.1503,0.255158654,0.067868659,0 days 05:04:21,0 days 09:18:10
297,Reisendedd,83,1,83,0.298055732,0.054687659,0 days 01:05:20,0 days 00:00:14
298,Kuusamopd,240,127,1.8898,0.121000704,0.05769955,0 days 09:51:24,0 days 00:00:08
299,Aggland1985,4,1,4,0.308737634,0.012004348,0 days 00:13:14,6 days 02:05:06
300,4n1einfk,1,1,1,0.265814033,0.015310839,0 days 00:25:15,8 days 21:49:50
301,arditecx,21,1,21,0.092486661,0.008854235,0 days 00:27:59,0 days 03:02:25
302,axel_queenie,8,1,8,0.179624755,0.028652745,0 days 00:43:19,0 days 03:00:13
303,xandra_queenie,9,40,0.225,0.044279242,0.535933107,0 days 00:29:10,0 days 18:00:03
304,ur5ahnq,7,1,7,0.571642367,0.20621794,0 days 00:13:03,6 days 03:15:27
305,musicatiopl,3,1,3,0.68470458,0.0083189,0 days 00:02:30,0 days 00:29:47
306,KiwiGeneral56478,258,1,258,0.418038132,0.196275198,0 days 00:36:04,0 days 00:00:13
307,Historical_Bunc,67,10,6.7,0.231330068,0.191229675,0 days 00:18:27,0 days 07:38:43
308,hualxh468,155,26,5.9615,0.773447898,0.07412288,0 days 00:15:10,33 days 19:28:40
309,AdditionalBuy2,32,122,0.2623,0.39746327,0.397393532,0 days 00:19:20,8 days 00:30:10
310,FreeIndicatg,22,1,22,0.621219336,0.002353637,0 days 00:31:41,0 days 12:49:31
311,Western_Garag,163,1,163,0.369624877,0.287824878,0 days 08:16:54,0 days 00:01:32
312,Feistylantai,65,1,65,0.374450658,0.172491945,0 days 03:35:57,0 days 04:19:59
313,EmptyExplana,13,1,13,0.518739545,0.015320067,0 days 00:21:15,0 days 00:00:08
314,ZestycloseTowe,-4,1,-4,0.697637602,0.452037574,0 days 01:11:30,0 days 00:25:14
315,Junior_Researc,56,1,56,0.66784054,0.071321113,0 days 00:10:58,0 days 10:49:31
316,Beduzmm,1,1,1,0.646713813,0.281384029,0 days 00:20:51,0 days 00:28:16
317,AffectionateDuf,3,1,3,0.481415063,0.00387422,0 days 00:37:20,4 days 18:41:03
318,Puzzleheadegr,0,1,0,0.157082986,0.004168084,0 days 00:36:58,0 days 00:00:19
319,DarkPsychologica,162,4344,0.0373,0.519834444,0.038927418,0 days 04:53:59,0 days 03:27:17
320,Dramatioiu,5,1,5,0.30142451,0.251274198,0 days 00:36:28,0 days 00:00:12
321,NoRequiremen,0,1,0,0.498533664,0.301295981,28 days 02:25:06,0 days 02:08:14
322,Neat_Personalit,9,1,9,0.53324854,0.000756,0 days 00:53:25,0 days 01:48:32
323,Appropriate_Lun,9,1,9,0.416257395,0.036937647,0 days 00:46:23,0 days 00:00:21
324,MinuteDispd,17,1,17,0.409158082,0.001553726,0 days 01:04:46,0 days 00:42:12
325,SuccessulDated,36,1,36,0.496566331,0.017939063,0 days 00:53:02,0 days 00:00:26
326,Savings_Challeng,15,1,15,0.32291883,0.000838912,0 days 00:37:12,0 days 10:35:22
327,Measurementb,29,1,29,0.782440562,0.018808765,0 days 02:40:28,0 days 03:49:07
328,Communitdf,54,1058,0.051,0.136237558,0.002653381,0 days 01:52:45,3 days 11:07:06
329,Rattenbt43,70,1,70,-0.116072861,0.023644278,0 days 00:53:52,0 days 02:52:05
330,Imaginary-Dish-5695,-6,1,-6,0.417503103,0.007130573,0 days 00:35:18,0 days 00:05:43
331,West_Philosop,37,1,37,0.244635357,0.000694052,0 days 00:13:30,0 days 10:47:29
332,FormIllustrious246,41,1,41,0.488243904,0.257366018,0 days 06:47:13,0 days 00:00:21
333,SomeCheeseca,68,1,68,0.591474142,0.109361882,0 days 07:50:16,0 days 00:07:34
334,Redingtun86,10,1,10,0.297271731,0.00341177,0 days 06:58:43,0 days 00:00:36
335,Dangerouucchin,18,1,18,0.535031995,0.078445743,0 days 02:11:19,0 days 00:00:20
336,Outsitraightbh,8,1,8,0.595282766,0.007110634,0 days 01:59:00,0 days 00:00:52
337,Antrancefju,30,1,30,0.464906498,0.196939455,0 days 02:38:04,0 days 00:01:01
338,Diligeudgevgf,37,1,37,0.516192724,0.066525664,0 days 01:01:08,0 days 00:00:25
339,Emergencgkt,43,1,43,0.61483051,0.092359172,0 days 04:46:55,0 days 00:00:17
340,Electricaegrenj,2,1,2,0.595376786,0.127418884,0 days 03:42:01,0 days 00:00:26
341,Seriouuggerna,21,1,21,0.533746342,0.076566425,0 days 02:57:34,0 days 00:00:25
342,CrazyAspect7578,6,1,6,0.39997281,0.007077472,0 days 07:30:32,0 days 00:03:00
343,Fbrown465,20,1,20,0.466713093,0.02201784,0 days 06:34:44,0 days 00:00:52
344,Individuaealthg,5,1,5,0.533094722,0.156382856,0 days 01:53:05,0 days 00:03:19
345,Zealousideal_Car_43,23,1,23,0.505737725,0.059255899,0 days 13:06:34,0 days 00:00:22
346,Thin_Expression2161,92,1,92,0.050080657,0.086956592,0 days 00:31:34,0 days 01:42:00
347,MirrorSelect7465,4,1,4,0.641248306,0.014668741,0 days 00:31:40,0 days 00:00:17
348,ckbhmtgxd,24,1,24,0.256989023,0.073067029,0 days 00:36:42,0 days 01:10:40
349,CatNecessagh,39,1,39,0.444965448,0.021673342,0 days 04:00:29,0 days 00:28:31
350,Usedewspape,84,1,84,0.497467315,0.232157159,0 days 01:22:59,0 days 00:00:50
351,Accomplishedcs,64,1,64,0.167631886,0.205946391,0 days 02:25:54,0 days 00:19:07
352,Rouzzleheade,5,1,5,0.509463435,0.042204344,0 days 02:24:12,0 days 00:08:57
353,Electrical_Cry_2349,5,1,5,0.328510573,0.252823202,0 days 13:35:31,0 days 00:00:33
354,Temporaryvgf,148,1,148,0.4112777,0.003870569,0 days 03:03:01,0 days 00:00:27
355,Efficienousegbvj,65,1,65,0.567398084,0.15556716,0 days 03:56:27,0 days 00:00:24
356,Awkwaruidance,-4,1,-4,0.523010223,0.265722457,0 days 03:11:20,0 days 00:07:45
357,Lupottiaf,90,4670,0.0193,0.480647423,0.000890119,1 days 15:19:35,0 days 00:04:30
358,AccomplishedRid,-2,1,-2,0.430693135,0.241217602,0 days 03:32:44,0 days 00:08:14
359,WasteBaklj,14,1,14,0.349837235,0.000723005,0 days 08:02:03,0 days 00:00:37
360,Otherwisathhk,20,1,20,0.652758813,0.197274591,0 days 02:19:49,0 days 00:00:29
361,NeedleworkerAway4839,39,1,39,0.306026192,0.002317381,0 days 00:28:54,0 days 00:14:46
362,Presenulturfyufu,14,1,14,0.650608424,0.096081802,0 days 02:10:07,0 days 00:00:16
363,Unitesreference488,9,1,9,0.287667997,0.00095452,0 days 03:40:13,0 days 02:31:51
364,Aggressive-Bit-4632,36,1,36,0.545701582,0.103913502,0 days 00:25:40,0 days 06:20:13
365,AttitudeDepended,7,1,7,0.584044643,0.031306975,0 days 04:16:16,0 days 00:08:32
366,Accurateainin,62,1,62,0.615735304,0.293100482,0 days 01:16:42,0 days 00:00:47
367,Relativobcatf,32,1,32,0.397762032,0.022612249,0 days 01:32:54,0 days 00:00:26
368,CivilEconomis,35,1,35,0.339272406,0.164780856,0 days 00:56:46,0 days 00:06:39
369,IntelligentParfai,-2,1,-2,0.293039001,0.008603231,0 days 01:54:18,0 days 00:09:22
370,ErmaThomas,50,647,0.0773,0.346959134,0.001532771,0 days 14:33:52,0 days 00:00:05
371,Numbleweedfh,49,1,49,0.569084589,0.274115348,0 days 04:14:51,0 days 00:00:37
372,GaseousBodyguard,9,803,0.0112,0.735569044,0.243729697,0 days 00:17:44,0 days 00:05:46
373,Jeeber5676,12,1,12,0.466100363,0.106359487,0 days 04:23:09,0 days 00:00:37
374,Acceptable_Test5802,43,4,10.75,0.487320795,0.132576675,0 days 08:25:29,0 days 05:55:38
375,Aachi876,27,1,27,0.409246601,0.009581795,0 days 08:50:23,0 days 00:00:37
376,bondidudesv,90,88,1.0227,0.50562385,0.003128727,1 days 17:53:02,0 days 00:00:05
377,railaer,95,518,0.1834,0.577993579,0.000602726,1 days 15:23:55,0 days 00:07:48
378,Sperrwallze,77,1853,0.0416,0.60956587,0.01457977,1 days 18:01:27,0 days 00:04:20
379,nruloiayqpcsx,103,32,3.2188,0.283305047,0.199502211,1 days 05:38:28,0 days 01:46:02
380,abstinentett,83,61,1.3607,0.513122971,0.000965377,3 days 14:55:24,0 days 00:35:25
381,Heavevicedtg,27,1,27,0.672627241,0.198380409,0 days 04:57:53,0 days 00:00:20
382,HippoHeavy,41,1,41,0.373652596,0.374893977,0 days 00:33:43,0 days 00:00:17
383,Carefssignmen,63,1,63,0.384511108,0.008990517,0 days 04:46:12,0 days 00:00:21
384,CliffordBahra,46,481,0.0956,0.513849958,0.000899624,0 days 10:22:17,0 days 00:00:05
385,AnaWhitea,48,234,0.2051,0.525036452,0.000739318,0 days 12:57:33,0 days 00:00:06
386,Zemskone,77,15,5.1333,0.589718886,0.000703494,0 days 08:08:47,0 days 00:08:55
387,ismile4y0ugr,113,490,0.2306,0.574834213,0.030240333,3 days 09:06:13,0 days 00:17:44
388,photochiguireao,100,249,0.4016,0.556088305,0.016173425,1 days 20:17:34,0 days 00:17:41
389,Metaldizq,89,3251,0.0274,0.329376114,0.003487134,1 days 13:51:49,0 days 00:02:55
390,Nimaclun86,8,1,8,0.542825542,0.100519077,0 days 07:00:25,0 days 00:01:02
391,jyu2b_z2hggv,6,1,6,0.510449644,0.157340842,0 days 00:29:05,0 days 03:29:28
392,Different_Shoe_7836,4,1,4,0.235403708,0.003836908,0 days 01:44:55,2 days 02:19:22
393,duckgovard,465,20,23.25,0.366677364,0.197780485,0 days 00:17:25,6 days 18:38:02
394,yixirer,5462,780,7.0026,0.646394818,0.142890907,0 days 00:37:11,0 days 02:31:30
395,Quicecretarycxh,55,1,55,0.502457261,0.001791275,0 days 03:09:38,0 days 00:00:20
396,Present_Performe24,49,7,7,0.330996233,0.001682876,0 days 00:19:22,0 days 07:45:06
397,sternlyhatch24,381,5546,0.0687,0.125494929,0.137632426,0 days 00:20:32,10 days 08:05:36
398,Glottalcorse,40,34,1.1765,0.467669398,0.126039803,0 days 00:17:02,5 days 13:13:18
399,PuzzleheadedSell3959,5,1,5,0.565715295,0.033037004,0 days 00:30:26,0 days 00:33:08
400,Obvious-Recording867,9,1,9,0.466173346,0.077059554,0 days 01:01:56,0 days 00:28:36
401,BodybuilderSecure850,54,1,54,0.643270903,0.631107032,0 days 01:05:46,0 days 00:30:07
402,Dlanglois86,21,1,21,0.655886809,0.497484964,0 days 07:23:18,0 days 00:00:32
403,Alone_Strawberry8814,3,1,3,0.414041111,0.287691979,0 days 01:09:56,0 days 12:20:01
404,jellevdalen,227,1253,0.1812,0.409112929,0.026307991,0 days 00:12:16,4 days 14:59:57
405,HurtfulShopping,85,279,0.3047,0.715478134,0.005013145,0 days 00:02:47,0 days 05:28:56
406,Choice_Key_8201,868,2311,0.3756,0.598453249,0.082625687,0 days 00:50:11,0 days 01:53:30
407,richardjanes80,99,14962,0.0066,0.540487731,0.197945058,0 days 00:21:39,3 days 23:54:08
408,Front-Manufacturer32,-2,1,-2,0.558092113,0.41998066,0 days 00:47:45,0 days 00:31:34
409,Personal-Cry934,64,1,64,0.454473393,0.128306933,0 days 05:05:46,0 days 00:22:26
410,Mcraigw353,48,1,48,0.626736037,0.008881473,0 days 04:36:30,0 days 00:00:35
411,CautiousExcuseY,116,28,4.1429,0.555534378,0.165179427,0 days 00:47:06,0 days 02:26:24
412,SleepilyDearest,7,5268,0.0013,0.78226728,0.187658358,0 days 00:34:46,0 days 00:11:44
413,ychuc,1052,11387,0.0924,0.686824582,0.143577751,0 days 00:57:51,0 days 03:30:26
414,PomegranateMany5027,19,1,19,0.635883933,0.006981438,0 days 00:39:34,0 days 01:43:14
415,AwareContentment,8,782,0.0102,0.379597654,0.001185583,0 days 00:08:15,0 days 09:48:33
416,Difficult_Role_1586,23,31,0.7419,0.309741597,0.007352165,0 days 00:54:17,0 days 13:31:32
417,ComprehensiveCount47,219,1,219,0.583278909,0.073356495,0 days 04:11:20,0 days 00:01:01
418,ObviousAd2162,20,1,20,0.624092625,0.002578023,0 days 06:37:32,0 days 00:00:46
419,ComplaintFar183,129,1,129,0.386640892,0.227676229,0 days 00:34:33,0 days 00:00:15
420,Sorsat8086,67,1,67,0.737459447,0.016934891,0 days 05:35:24,0 days 00:01:05
421,AltruisticBedroom153,12,1,12,0.572343899,0.001851919,0 days 07:10:31,0 days 00:46:57
422,CardiologistCool4763,15,1,15,0.647582188,0.061734413,0 days 07:41:57,0 days 00:00:54
423,Lost-Category-557,20,1,20,0.463578127,0.000704238,0 days 00:40:14,2 days 01:09:42
424,SmallBullfrog7276,25,1,25,0.634336505,0.001048234,0 days 10:45:13,0 days 00:00:53
425,chorlouy,80,70,1.1429,0.455994258,0.011968113,2 days 06:51:17,0 days 00:03:18
426,LankyNail566,109,56,1.9464,0.321569569,0.18636817,0 days 03:37:14,0 days 02:14:46
427,cliopo,21,1,21,0.257633074,0.397140674,0 days 06:15:30,6 days 05:24:48
428,Backgrounsish2s,26,1,26,0.542614517,0.136609993,0 days 05:36:02,0 days 00:00:22
429,Historicsact283,32,1,32,0.661833344,0.050677986,0 days 06:13:04,0 days 00:01:27
430,AspectDisastrous3756,11,1,11,0.655387913,0.240765326,0 days 03:07:52,0 days 00:02:28
431,FuzzyBumblebee8461,27,1,27,0.519755393,0.135724015,0 days 07:11:42,0 days 00:44:02
432,DetailBulky,78,189,0.4127,0.463390839,0.004723049,0 days 02:03:20,182 days 21:49:35
433,technofreak000,39,51,0.7647,0.456727457,0.035885296,0 days 12:15:50,1 days 05:20:11
434,LolaWilliamse,45,90,0.5,0.51831075,0.03238783,0 days 06:13:04,0 days 00:00:05
435,WranglerOk8130,12,42,0.2857,0.116507001,0.001479883,0 days 03:28:28,0 days 02:03:42
436,EffectsBat4956,229,1,229,0.740654393,0.279850606,0 days 04:55:29,0 days 00:02:15
437,mrnguyen123,34,169,0.2012,0.676167165,0.004017359,0 days 00:23:37,5 days 10:03:50
438,Academic_Nothing5625,43,1,43,0.488097713,0.213489792,0 days 00:43:53,0 days 08:57:52
439,Nedadyh,81,929,0.0872,0.637050963,0.496189881,0 days 00:00:28,0 days 01:24:25
440,ceyiwit297,10,1062,0.0094,0.606545666,0.133568748,0 days 00:17:08,0 days 00:52:37
441,sharppeyton,20,1,20,0.435656239,0.040665123,0 days 00:15:10,8 days 14:47:29
442,densysltd,1809,3833,0.472,0,0.069679049,0 days 00:10:26,2 days 00:21:30
443,DramaticAppendix,11,13,0.8462,0.824840501,0.005682655,0 days 00:22:49,0 days 00:07:50
444,magove3056,14,5096,0.0027,0.667787042,0.008682301,0 days 02:34:44,0 days 12:41:50
445,hoyojet885,110,301,0.3654,0.708730586,0.456598684,0 days 00:15:48,2 days 09:38:02
446,thecrispsolitude,37,3036,0.0122,0.434186986,0.021116265,0 days 03:14:20,0 days 01:53:22
447,BlankDomination,101,2250,0.0449,0.547198903,0.236793224,0 days 02:38:29,0 days 07:31:19
448,Medical_Mortgage7624,-2,1,-2,0.722781629,0.21036496,0 days 00:38:25,0 days 23:07:58
449,Abject_Low7195,16,1,16,0.422121096,0.002860328,0 days 00:22:03,1 days 13:04:18
450,Desisrouble5773,-23,1,-23,0.543983197,0.043616238,0 days 03:53:54,0 days 01:29:36
451,farcavy67,28,337,0.0831,0.636701312,0.328207798,0 days 00:19:48,18 days 15:15:41
452,VisibleDevelopment23,83,1,83,0.541217717,0.331530638,0 days 04:16:31,0 days 00:01:02
453,Rusecialist624,128,1,128,0.440596829,0.083018518,0 days 07:29:23,0 days 00:00:29
454,Correct_Ad_6278,20,1319,0.0152,0.525607702,0.010668235,0 days 00:02:22,0 days 10:45:31
455,Shamrao24327,17,746,0.0228,0.207350076,0.0107532,0 days 01:40:56,0 days 01:41:04
456,Intelligenswan1015,43,1,43,0.486664196,0.10956644,0 days 08:05:55,0 days 00:01:07
457,RangerFar6342,66,1,66,0.514439321,0.083891839,0 days 05:03:04,0 days 00:00:43
458,HopefulTax-8034,125,40,3.125,0.594315451,0.172843791,0 days 02:45:24,0 days 02:47:58
459,Expert_Listen711,33,1,33,0.437777503,0.009400581,0 days 00:38:31,1 days 02:16:30
460,chastelySuction37,34,1103,0.0308,0.343420309,0.058755753,0 days 00:20:14,10 days 23:13:49
461,ShoddyEcho7753,45,1,45,0.462229535,0.019092797,0 days 03:00:50,0 days 00:00:59
462,EducationalRecord668,122,1,122,0.653527683,0.115509334,0 days 04:58:31,0 days 00:00:46
463,OtherTelevision3446,45,1,45,0.579471594,0.059341683,0 days 05:38:15,0 days 00:49:36
464,Maleficenstick9979,32,1,32,0.519420853,0.006078432,0 days 08:23:40,0 days 00:00:31
465,Express_Front_4153,47,2,23.5,0.166899938,0.0883424,0 days 00:31:58,0 days 11:02:45
466,MasterpieceNo6294,34,167,0.2036,0.662627856,0.074873974,0 days 01:28:30,0 days 01:13:50
467,Onlysandicoot2043,34,1,34,0.421622357,0.155756639,0 days 07:20:39,0 days 01:24:47
468,DeadlyDais59,44,36,1.2222,0.612590359,0.005577757,0 days 00:10:34,1 days 02:42:21
469,Tuetaog,97,180,0.5389,0.521919051,0.011989679,1 days 22:54:45,0 days 00:20:49
470,luisjyngy,56,49,1.1429,0.549094381,0.000715313,1 days 10:31:33,0 days 00:35:49
471,lujandcuyodt,106,1423,0.0745,0.510124823,0.014417158,1 days 21:26:52,0 days 00:26:49
472,woon5s2fss,118,2709,0.0436,0.50274502,0.001746791,2 days 01:46:46,0 days 00:13:20
473,Own-Champion2141,13,3,4.3333,0.308365616,0.255284517,0 days 00:09:06,0 days 19:49:28
474,LostRefrigerator2102,11,4,2.75,0.360953788,0.023893512,0 days 00:17:46,0 days 12:04:36
475,Arctic_0rca,108,146,0.7397,0.265367509,0.001177187,0 days 06:24:36,9 days 03:33:30
476,RepulsiveLeading5832,-19,1,-19,0.805310985,0.164020012,0 days 04:00:37,0 days 00:01:07
477,jlinuv,265,1629,0.1627,0.636468517,0.317864807,0 days 00:14:51,7 days 08:22:30
478,Own_Finding7180,8,1,8,0.191609437,0.070187827,0 days 00:22:00,0 days 15:01:44
479,Common_Bicycle,66,106,0.6226,0.446835697,0.075763591,0 days 09:08:11,121 days 17:42:28
480,FrayedWindfall,52,1181,0.044,0.597894799,0.001735254,0 days 00:12:30,0 days 11:12:05
481,varenikuct,67,22,3.0455,0.43062198,0.035887017,1 days 14:46:49,0 days 04:52:24
482,No_Mood3632,3,20,0.15,0.229811235,0.079361927,0 days 04:42:04,182 days 15:16:00
483,Distinct-Raccoon-128,5,1,5,0.452448048,0.002018273,13 days 15:05:03,0 days 00:03:58
484,WiselyPetty,32,596,0.0537,0.66736585,0.001919497,0 days 00:01:24,0 days 02:46:01
485,AnimatorRepulsive697,22,19,1.1579,0.283175846,0.003861372,0 days 00:31:02,0 days 10:56:55
486,stervochkaval,74,1036,0.0714,0.401991326,0.053638654,0 days 00:39:20,7 days 04:04:00
487,argeusd,24,1,24,0.293084099,0.030140275,0 days 00:31:34,2 days 12:22:58
488,Ldisien,103,13,7.9231,0.679978049,0.003551915,0 days 02:37:56,13 days 07:58:58
489,illPlumb,31,1466,0.0211,0.441896967,0.091373891,0 days 01:05:46,6 days 22:22:22
490,Humble-Plate6111,10,1,10,0.315847959,0.221172215,0 days 00:42:01,0 days 10:02:26
491,Consistent_Film2184,14,1,14,0.297945115,0.043311742,0 days 00:17:24,0 days 08:39:19
492,AnyMasterpiece8968,17,13,1.3077,0.22877571,0.000965165,0 days 00:33:24,0 days 09:30:19
493,unboundcloser,82,2364,0.0347,0.461456596,0.027730483,0 days 00:09:49,0 days 14:54:37
494,ToothpasteWolfawoo,118,4181,0.0282,0.539075709,0.025476645,0 days 14:45:18,2 days 02:49:12
495,Racistzeppelin87,23,721,0.0319,0.414222504,0.17345502,0 days 00:43:31,11 days 09:57:16
496,iskvariozn,79,52,1.5192,0.352810669,0.249367198,4 days 13:22:15,0 days 03:13:29
497,Wisifferenvgcd,304,48,6.3333,0.509442888,0.001482167,0 days 01:17:06,0 days 00:01:09
498,Chancyswallow277,66,599,0.1102,0.545794033,0.308360883,0 days 00:13:53,4 days 00:58:46
499,kerkdiefbb,213,681,0.3128,0.479114907,0.015087463,1 days 05:29:38,0 days 03:13:37
500,kusanagi_a,60,8053,0.0075,0.677626537,0.021514492,0 days 00:16:10,2 days 19:16:01
501,AmandaPolx,1,168,0.006,0.393868662,0.099706732,3 days 14:22:31,0 days 00:02:29
502,NotFamousButWillBe,168,21229,0.0079,0.423471742,0.054276891,1 days 00:34:27,0 days 15:20:09
503,Stibiljeqz,15,408,0.0368,0.52564382,0.000711842,0 days 10:29:55,0 days 00:42:26
504,roxidjlsa,4,78,0.0513,0.486919691,0.166550483,0 days 15:04:22,0 days 05:28:32
505,Flashycfdse,44,1,44,0.497610315,0.006972312,0 days 01:53:46,0 days 00:01:01
506,Wastonstructiofg,20,1,20,0.591308887,0.003360076,0 days 01:38:09,0 days 00:02:46
507,ecstasyaesthetic,13,1,13,0.361894317,0.115185668,0 days 09:15:20,0 days 00:00:28
508,extraligaab,204,901,0.2264,0.351431936,0.006574338,0 days 16:05:48,0 days 00:00:08
509,ocasesbm,50,564,0.0887,0.57387577,0.142720994,1 days 04:50:25,0 days 01:37:03
510,anyDodge91,2,1,2,0.481516039,0.015274999,0 days 00:14:58,6 days 19:42:01
511,sherzb56,96,185,0.5189,0.222826571,0.048732006,0 days 00:49:51,0 days 00:00:32
512,PhysicalMyrtle,35,1,35,0.553219959,0.008862603,0 days 01:08:23,0 days 22:16:36
513,skaweuc,105,3661,0.0287,0.46645936,0.006926715,1 days 11:11:44,1 days 20:47:05
514,TheUsableSuccess,341,1258,0.2711,0,0.013382964,0 days 00:38:38,0 days 04:59:57
515,Even_Popbal,70,7,10,0.18252381,0.145809065,0 days 01:29:18,0 days 04:09:17
516,moreSubject68,119,4979,0.0239,0.400499623,0.209535468,0 days 00:33:54,7 days 17:59:53
517,Permissi74,9,1,9,0.44216468,0.00085268,0 days 09:45:33,0 days 00:00:32
518,ConsistentType564,25,1,25,0.519409933,0.296156672,0 days 05:44:40,0 days 00:02:11
519,AwkwardOncidium94,55,2161,0.0255,0.204691419,0.006174289,0 days 00:35:11,5 days 13:11:36
520,myuseryour,25,156,0.1603,0.564180757,0.000654005,0 days 00:09:42,0 days 04:01:30
521,MacabreCoding,18,3379,0.0053,0.324732883,0.389502994,0 days 00:15:11,1 days 19:26:55
522,GrandMink,601,922,0.6518,0.663182952,0.10410671,0 days 00:05:08,2 days 03:54:57
523,WarmBicycle8961,232,5833,0.0398,0.512278854,0.131590355,0 days 00:22:21,0 days 10:12:16
524,Flimsy-Insurance-978,5,1,5,0.514269969,0.292614936,0 days 02:08:21,48 days 14:34:49
525,Markjug67,103,1,103,0.335880822,0.106026864,0 days 03:30:24,0 days 00:00:37
526,Adventurouenu,69,6,11.5,0.433426602,0.002499341,0 days 04:14:57,0 days 00:00:54
527,Negativhampiona,48,14,3.4286,0.472281164,0.018311474,0 days 03:09:32,0 days 00:00:32
528,vedor65384,269,11764,0.0229,0.223282412,0.043080032,0 days 00:05:43,0 days 01:50:58
529,DiligentlyLarge,81,4392,0.0184,0.318304317,0.039348401,0 days 00:08:30,0 days 04:15:46
530,piantavc,203,823,0.2467,0.358864009,0.002839072,0 days 23:25:34,0 days 00:00:09
531,uprightfascism_87,1,1,1,0.357460016,0.084648903,84 days 12:53:14,0 days 03:30:25
532,polpinka,96,1378,0.0697,0.390081373,0.020454342,0 days 00:39:04,8 days 09:57:24
533,whereabouts84,0,1,0,0.502732801,0.125092224,0 days 14:02:10,0 days 03:33:53
534,Beautifedgehog,17,1,17,0.400029746,0.144236353,0 days 02:04:19,0 days 03:38:00
535,Dsowsy41,120,1,120,0.457429221,0.16632277,0 days 06:10:11,0 days 00:00:42
536,VacantDossier,7,3500,0.002,0.472008718,0.033801174,0 days 01:55:14,0 days 16:42:37
537,Frifkijud9,-6,1,-6,0.301694074,0.071561288,0 days 04:56:24,0 days 00:00:42
538,Fearleensionbh,83,16,5.1875,0.576332628,0.04171151,0 days 03:41:32,0 days 00:00:36
539,outcasterajidae768,4,1,4,0.22162499,0.075098228,0 days 00:27:50,8 days 20:31:27
540,webtechiez,68,1,68,0.324039051,0.33566598,0 days 00:19:01,6 days 16:45:23
541,Independentfdy,19,1,19,0.434576768,0.00078791,0 days 02:33:47,0 days 04:09:55
542,SenorBeef,386447,8113,47.6331,0.683794004,0.241718895,0 days 03:38:59,0 days 02:31:57
543,Aggressive_Finger579,16,1,16,0.585652716,0.002447416,0 days 00:42:26,0 days 10:05:06
544,xansochi,55,61,0.9016,0.426152877,0.250878223,0 days 00:15:30,4 days 06:52:43
545,MixedRapidity,6,226,0.0265,0.76285289,0.00062568,0 days 00:26:44,0 days 00:10:23
546,UpstateAlight72,40,39,1.0256,0.419869013,0.005637969,0 days 00:20:28,7 days 07:11:54
547,Automatic_Suc,62,25,2.48,0.262806279,0.056875288,0 days 09:55:00,0 days 06:22:28
548,Unhapolasvgf,335,43,7.7907,0.553669219,0.001101084,0 days 02:18:58,0 days 00:00:27
549,HistoricalAm,-15,1,-15,0.198609058,0.399453504,0 days 04:15:20,0 days 00:00:14
550,w8229549,30,222,0.1351,0.342458696,0.112804788,0 days 00:28:48,5 days 12:08:00
551,outrightfoal480,208,310,0.671,0.590814236,0.233793178,0 days 00:40:06,1 days 19:09:21
552,CommercialClient51,170,6,28.3333,0.499459983,0.138814283,0 days 06:58:36,0 days 02:01:18
553,pc29lo,108,6230,0.0173,0.703641952,0.334093631,0 days 00:15:43,13 days 12:42:35
554,ntyriminger,3,1,3,0.415796975,0.005295812,0 days 00:16:35,1 days 05:51:37
555,initialshuffler,33,143,0.2308,0.410285579,0.002281137,0 days 00:16:11,4 days 00:02:49
556,Suitable-Method3245,3,1,3,0.020410432,0.064627259,0 days 01:51:34,0 days 00:28:27
